	image_paths	species
41	dataset/cropped/Abies concolor/40.jpg	Abies concolor
42	dataset/cropped/Abies concolor/41.jpg	Abies concolor
43	dataset/cropped/Abies concolor/42.jpg	Abies concolor
44	dataset/cropped/Abies concolor/43.jpg	Abies concolor
45	dataset/cropped/Abies concolor/44.jpg	Abies concolor
46	dataset/cropped/Abies concolor/45.jpg	Abies concolor
47	dataset/cropped/Abies concolor/46.jpg	Abies concolor
48	dataset/cropped/Abies concolor/47.jpg	Abies concolor
49	dataset/cropped/Abies concolor/48.jpg	Abies concolor
50	dataset/cropped/Abies concolor/49.jpg	Abies concolor
51	dataset/cropped/Abies concolor/50.jpg	Abies concolor
52	dataset/cropped/Abies concolor/51.jpg	Abies concolor
53	dataset/cropped/Abies concolor/52.jpg	Abies concolor
54	dataset/cropped/Abies concolor/53.jpg	Abies concolor
55	dataset/cropped/Abies concolor/54.jpg	Abies concolor
56	dataset/cropped/Abies concolor/55.jpg	Abies concolor
57	dataset/cropped/Abies concolor/56.jpg	Abies concolor
58	dataset/cropped/Abies concolor/57.jpg	Abies concolor
59	dataset/cropped/Abies concolor/58.jpg	Abies concolor
60	dataset/cropped/Abies concolor/59.jpg	Abies concolor
61	dataset/cropped/Abies concolor/60.jpg	Abies concolor
62	dataset/cropped/Abies concolor/61.jpg	Abies concolor
63	dataset/cropped/Abies concolor/62.jpg	Abies concolor
64	dataset/cropped/Abies concolor/63.jpg	Abies concolor
65	dataset/cropped/Abies concolor/64.jpg	Abies concolor
66	dataset/cropped/Abies concolor/65.jpg	Abies concolor
67	dataset/cropped/Abies concolor/66.jpg	Abies concolor
68	dataset/cropped/Abies concolor/67.jpg	Abies concolor
69	dataset/cropped/Abies concolor/68.jpg	Abies concolor
70	dataset/cropped/Abies concolor/69.jpg	Abies concolor
71	dataset/cropped/Abies concolor/70.jpg	Abies concolor
72	dataset/cropped/Abies concolor/71.jpg	Abies concolor
73	dataset/cropped/Abies concolor/72.jpg	Abies concolor
74	dataset/cropped/Abies concolor/73.jpg	Abies concolor
75	dataset/cropped/Abies concolor/74.jpg	Abies concolor
76	dataset/cropped/Abies concolor/75.jpg	Abies concolor
77	dataset/cropped/Abies concolor/76.jpg	Abies concolor
78	dataset/cropped/Abies concolor/77.jpg	Abies concolor
79	dataset/cropped/Abies concolor/78.jpg	Abies concolor
80	dataset/cropped/Abies concolor/79.jpg	Abies concolor
81	dataset/cropped/Abies concolor/80.jpg	Abies concolor
82	dataset/cropped/Abies concolor/81.jpg	Abies concolor
83	dataset/cropped/Abies concolor/82.jpg	Abies concolor
84	dataset/cropped/Abies concolor/83.jpg	Abies concolor
85	dataset/cropped/Abies concolor/84.jpg	Abies concolor
86	dataset/cropped/Abies concolor/85.jpg	Abies concolor
87	dataset/cropped/Abies concolor/86.jpg	Abies concolor
88	dataset/cropped/Abies concolor/87.jpg	Abies concolor
89	dataset/cropped/Abies concolor/88.jpg	Abies concolor
90	dataset/cropped/Abies concolor/89.jpg	Abies concolor
91	dataset/cropped/Abies concolor/90.jpg	Abies concolor
92	dataset/cropped/Abies concolor/91.jpg	Abies concolor
93	dataset/cropped/Abies concolor/92.jpg	Abies concolor
94	dataset/cropped/Abies concolor/93.jpg	Abies concolor
95	dataset/cropped/Abies concolor/94.jpg	Abies concolor
96	dataset/cropped/Abies concolor/95.jpg	Abies concolor
97	dataset/cropped/Abies concolor/96.jpg	Abies concolor
98	dataset/cropped/Abies concolor/97.jpg	Abies concolor
99	dataset/cropped/Abies concolor/98.jpg	Abies concolor
100	dataset/cropped/Abies concolor/99.jpg	Abies concolor
101	dataset/cropped/Abies concolor/100.jpg	Abies concolor
102	dataset/cropped/Abies concolor/101.jpg	Abies concolor
103	dataset/cropped/Abies concolor/102.jpg	Abies concolor
104	dataset/cropped/Abies concolor/103.jpg	Abies concolor
105	dataset/cropped/Abies concolor/104.jpg	Abies concolor
106	dataset/cropped/Abies concolor/105.jpg	Abies concolor
107	dataset/cropped/Abies concolor/106.jpg	Abies concolor
108	dataset/cropped/Abies concolor/107.jpg	Abies concolor
109	dataset/cropped/Abies concolor/108.jpg	Abies concolor
110	dataset/cropped/Abies concolor/109.jpg	Abies concolor
111	dataset/cropped/Abies concolor/110.jpg	Abies concolor
112	dataset/cropped/Abies concolor/111.jpg	Abies concolor
113	dataset/cropped/Abies concolor/112.jpg	Abies concolor
114	dataset/cropped/Abies concolor/113.jpg	Abies concolor
115	dataset/cropped/Abies concolor/114.jpg	Abies concolor
116	dataset/cropped/Abies concolor/115.jpg	Abies concolor
117	dataset/cropped/Abies concolor/116.jpg	Abies concolor
118	dataset/cropped/Abies concolor/117.jpg	Abies concolor
119	dataset/cropped/Abies concolor/118.jpg	Abies concolor
120	dataset/cropped/Abies concolor/119.jpg	Abies concolor
121	dataset/cropped/Abies concolor/120.jpg	Abies concolor
122	dataset/cropped/Abies concolor/121.jpg	Abies concolor
123	dataset/cropped/Abies concolor/122.jpg	Abies concolor
124	dataset/cropped/Abies concolor/123.jpg	Abies concolor
125	dataset/cropped/Abies concolor/124.jpg	Abies concolor
126	dataset/cropped/Abies concolor/125.jpg	Abies concolor
127	dataset/cropped/Abies concolor/126.jpg	Abies concolor
128	dataset/cropped/Abies concolor/127.jpg	Abies concolor
129	dataset/cropped/Abies concolor/128.jpg	Abies concolor
130	dataset/cropped/Abies concolor/129.jpg	Abies concolor
131	dataset/cropped/Abies concolor/130.jpg	Abies concolor
132	dataset/cropped/Abies concolor/131.jpg	Abies concolor
133	dataset/cropped/Abies concolor/132.jpg	Abies concolor
134	dataset/cropped/Abies concolor/133.jpg	Abies concolor
135	dataset/cropped/Abies concolor/134.jpg	Abies concolor
136	dataset/cropped/Abies concolor/135.jpg	Abies concolor
137	dataset/cropped/Abies concolor/136.jpg	Abies concolor
138	dataset/cropped/Abies concolor/137.jpg	Abies concolor
139	dataset/cropped/Abies concolor/138.jpg	Abies concolor
140	dataset/cropped/Abies concolor/139.jpg	Abies concolor
141	dataset/cropped/Abies concolor/140.jpg	Abies concolor
142	dataset/cropped/Abies concolor/141.jpg	Abies concolor
143	dataset/cropped/Abies concolor/142.jpg	Abies concolor
144	dataset/cropped/Abies concolor/143.jpg	Abies concolor
145	dataset/cropped/Abies concolor/144.jpg	Abies concolor
146	dataset/cropped/Abies concolor/145.jpg	Abies concolor
147	dataset/cropped/Abies concolor/146.jpg	Abies concolor
148	dataset/cropped/Abies concolor/147.jpg	Abies concolor
149	dataset/cropped/Abies concolor/148.jpg	Abies concolor
150	dataset/cropped/Abies concolor/149.jpg	Abies concolor
151	dataset/cropped/Abies concolor/150.jpg	Abies concolor
152	dataset/cropped/Abies concolor/151.jpg	Abies concolor
153	dataset/cropped/Abies concolor/152.jpg	Abies concolor
154	dataset/cropped/Abies concolor/153.jpg	Abies concolor
155	dataset/cropped/Abies concolor/154.jpg	Abies concolor
156	dataset/cropped/Abies concolor/155.jpg	Abies concolor
157	dataset/cropped/Abies concolor/156.jpg	Abies concolor
158	dataset/cropped/Abies concolor/157.jpg	Abies concolor
159	dataset/cropped/Abies concolor/158.jpg	Abies concolor
160	dataset/cropped/Abies concolor/159.jpg	Abies concolor
161	dataset/cropped/Abies concolor/160.jpg	Abies concolor
162	dataset/cropped/Abies concolor/161.jpg	Abies concolor
163	dataset/cropped/Abies concolor/162.jpg	Abies concolor
164	dataset/cropped/Abies concolor/163.jpg	Abies concolor
165	dataset/cropped/Abies concolor/164.jpg	Abies concolor
166	dataset/cropped/Abies concolor/165.jpg	Abies concolor
167	dataset/cropped/Abies concolor/166.jpg	Abies concolor
168	dataset/cropped/Abies concolor/167.jpg	Abies concolor
169	dataset/cropped/Abies concolor/168.jpg	Abies concolor
170	dataset/cropped/Abies concolor/169.jpg	Abies concolor
171	dataset/cropped/Abies concolor/170.jpg	Abies concolor
172	dataset/cropped/Abies concolor/171.jpg	Abies concolor
173	dataset/cropped/Abies concolor/172.jpg	Abies concolor
174	dataset/cropped/Abies concolor/173.jpg	Abies concolor
175	dataset/cropped/Abies concolor/174.jpg	Abies concolor
176	dataset/cropped/Abies concolor/175.jpg	Abies concolor
177	dataset/cropped/Abies concolor/176.jpg	Abies concolor
178	dataset/cropped/Abies concolor/177.jpg	Abies concolor
179	dataset/cropped/Abies concolor/178.jpg	Abies concolor
180	dataset/cropped/Abies concolor/179.jpg	Abies concolor
181	dataset/cropped/Abies concolor/180.jpg	Abies concolor
182	dataset/cropped/Abies concolor/181.jpg	Abies concolor
183	dataset/cropped/Abies concolor/182.jpg	Abies concolor
184	dataset/cropped/Abies concolor/183.jpg	Abies concolor
185	dataset/cropped/Abies concolor/184.jpg	Abies concolor
186	dataset/cropped/Abies concolor/185.jpg	Abies concolor
187	dataset/cropped/Abies concolor/186.jpg	Abies concolor
188	dataset/cropped/Abies concolor/187.jpg	Abies concolor
189	dataset/cropped/Abies concolor/188.jpg	Abies concolor
190	dataset/cropped/Abies concolor/189.jpg	Abies concolor
191	dataset/cropped/Abies concolor/190.jpg	Abies concolor
192	dataset/cropped/Abies concolor/191.jpg	Abies concolor
193	dataset/cropped/Abies concolor/192.jpg	Abies concolor
194	dataset/cropped/Abies concolor/193.jpg	Abies concolor
195	dataset/cropped/Abies concolor/194.jpg	Abies concolor
196	dataset/cropped/Abies concolor/195.jpg	Abies concolor
197	dataset/cropped/Abies concolor/196.jpg	Abies concolor
198	dataset/cropped/Abies concolor/197.jpg	Abies concolor
199	dataset/cropped/Abies concolor/198.jpg	Abies concolor
200	dataset/cropped/Abies concolor/199.jpg	Abies concolor
201	dataset/cropped/Abies concolor/200.jpg	Abies concolor
202	dataset/cropped/Abies concolor/201.jpg	Abies concolor
203	dataset/cropped/Abies concolor/202.jpg	Abies concolor
204	dataset/cropped/Abies concolor/203.jpg	Abies concolor
205	dataset/cropped/Abies concolor/204.jpg	Abies concolor
206	dataset/cropped/Abies concolor/205.jpg	Abies concolor
207	dataset/cropped/Abies concolor/206.jpg	Abies concolor
208	dataset/cropped/Abies concolor/207.jpg	Abies concolor
209	dataset/cropped/Abies concolor/208.jpg	Abies concolor
210	dataset/cropped/Abies concolor/209.jpg	Abies concolor
211	dataset/cropped/Abies concolor/210.jpg	Abies concolor
212	dataset/cropped/Abies concolor/211.jpg	Abies concolor
213	dataset/cropped/Abies concolor/212.jpg	Abies concolor
214	dataset/cropped/Abies concolor/213.jpg	Abies concolor
215	dataset/cropped/Abies concolor/214.jpg	Abies concolor
216	dataset/cropped/Abies concolor/215.jpg	Abies concolor
217	dataset/cropped/Abies concolor/216.jpg	Abies concolor
218	dataset/cropped/Abies concolor/217.jpg	Abies concolor
219	dataset/cropped/Abies concolor/218.jpg	Abies concolor
220	dataset/cropped/Abies concolor/219.jpg	Abies concolor
221	dataset/cropped/Abies concolor/220.jpg	Abies concolor
222	dataset/cropped/Abies concolor/221.jpg	Abies concolor
223	dataset/cropped/Abies concolor/222.jpg	Abies concolor
224	dataset/cropped/Abies concolor/223.jpg	Abies concolor
225	dataset/cropped/Abies concolor/224.jpg	Abies concolor
226	dataset/cropped/Abies concolor/225.jpg	Abies concolor
227	dataset/cropped/Abies concolor/226.jpg	Abies concolor
228	dataset/cropped/Abies concolor/227.jpg	Abies concolor
229	dataset/cropped/Abies concolor/228.jpg	Abies concolor
230	dataset/cropped/Abies concolor/229.jpg	Abies concolor
231	dataset/cropped/Abies concolor/230.jpg	Abies concolor
232	dataset/cropped/Abies concolor/231.jpg	Abies concolor
233	dataset/cropped/Abies concolor/232.jpg	Abies concolor
234	dataset/cropped/Abies concolor/233.jpg	Abies concolor
235	dataset/cropped/Abies concolor/234.jpg	Abies concolor
236	dataset/cropped/Abies concolor/235.jpg	Abies concolor
237	dataset/cropped/Abies concolor/236.jpg	Abies concolor
238	dataset/cropped/Abies concolor/237.jpg	Abies concolor
239	dataset/cropped/Abies concolor/238.jpg	Abies concolor
240	dataset/cropped/Abies concolor/239.jpg	Abies concolor
241	dataset/cropped/Abies concolor/240.jpg	Abies concolor
242	dataset/cropped/Abies concolor/241.jpg	Abies concolor
243	dataset/cropped/Abies concolor/242.jpg	Abies concolor
244	dataset/cropped/Abies concolor/243.jpg	Abies concolor
245	dataset/cropped/Abies concolor/244.jpg	Abies concolor
246	dataset/cropped/Abies concolor/245.jpg	Abies concolor
247	dataset/cropped/Abies concolor/246.jpg	Abies concolor
248	dataset/cropped/Abies concolor/247.jpg	Abies concolor
249	dataset/cropped/Abies concolor/248.jpg	Abies concolor
250	dataset/cropped/Abies concolor/249.jpg	Abies concolor
251	dataset/cropped/Abies nordmanniana/250.jpg	Abies nordmanniana
252	dataset/cropped/Abies nordmanniana/251.jpg	Abies nordmanniana
253	dataset/cropped/Abies nordmanniana/252.jpg	Abies nordmanniana
254	dataset/cropped/Abies nordmanniana/253.jpg	Abies nordmanniana
255	dataset/cropped/Abies nordmanniana/254.jpg	Abies nordmanniana
256	dataset/cropped/Abies nordmanniana/255.jpg	Abies nordmanniana
257	dataset/cropped/Abies nordmanniana/256.jpg	Abies nordmanniana
258	dataset/cropped/Abies nordmanniana/257.jpg	Abies nordmanniana
259	dataset/cropped/Abies nordmanniana/258.jpg	Abies nordmanniana
260	dataset/cropped/Abies nordmanniana/259.jpg	Abies nordmanniana
261	dataset/cropped/Abies nordmanniana/260.jpg	Abies nordmanniana
262	dataset/cropped/Abies nordmanniana/261.jpg	Abies nordmanniana
263	dataset/cropped/Abies nordmanniana/262.jpg	Abies nordmanniana
264	dataset/cropped/Abies nordmanniana/263.jpg	Abies nordmanniana
265	dataset/cropped/Abies nordmanniana/264.jpg	Abies nordmanniana
266	dataset/cropped/Abies nordmanniana/265.jpg	Abies nordmanniana
267	dataset/cropped/Abies nordmanniana/266.jpg	Abies nordmanniana
268	dataset/cropped/Abies nordmanniana/267.jpg	Abies nordmanniana
269	dataset/cropped/Abies nordmanniana/268.jpg	Abies nordmanniana
270	dataset/cropped/Abies nordmanniana/269.jpg	Abies nordmanniana
271	dataset/cropped/Abies nordmanniana/270.jpg	Abies nordmanniana
272	dataset/cropped/Abies nordmanniana/271.jpg	Abies nordmanniana
273	dataset/cropped/Abies nordmanniana/272.jpg	Abies nordmanniana
274	dataset/cropped/Abies nordmanniana/273.jpg	Abies nordmanniana
275	dataset/cropped/Abies nordmanniana/274.jpg	Abies nordmanniana
276	dataset/cropped/Abies nordmanniana/275.jpg	Abies nordmanniana
277	dataset/cropped/Abies nordmanniana/276.jpg	Abies nordmanniana
278	dataset/cropped/Abies nordmanniana/277.jpg	Abies nordmanniana
279	dataset/cropped/Abies nordmanniana/278.jpg	Abies nordmanniana
280	dataset/cropped/Abies nordmanniana/279.jpg	Abies nordmanniana
281	dataset/cropped/Abies nordmanniana/280.jpg	Abies nordmanniana
282	dataset/cropped/Abies nordmanniana/281.jpg	Abies nordmanniana
283	dataset/cropped/Abies nordmanniana/282.jpg	Abies nordmanniana
284	dataset/cropped/Abies nordmanniana/283.jpg	Abies nordmanniana
285	dataset/cropped/Abies nordmanniana/284.jpg	Abies nordmanniana
286	dataset/cropped/Abies nordmanniana/285.jpg	Abies nordmanniana
287	dataset/cropped/Abies nordmanniana/286.jpg	Abies nordmanniana
288	dataset/cropped/Abies nordmanniana/287.jpg	Abies nordmanniana
289	dataset/cropped/Abies nordmanniana/288.jpg	Abies nordmanniana
290	dataset/cropped/Abies nordmanniana/289.jpg	Abies nordmanniana
291	dataset/cropped/Abies nordmanniana/290.jpg	Abies nordmanniana
292	dataset/cropped/Abies nordmanniana/291.jpg	Abies nordmanniana
293	dataset/cropped/Abies nordmanniana/292.jpg	Abies nordmanniana
294	dataset/cropped/Abies nordmanniana/293.jpg	Abies nordmanniana
295	dataset/cropped/Abies nordmanniana/294.jpg	Abies nordmanniana
296	dataset/cropped/Abies nordmanniana/295.jpg	Abies nordmanniana
297	dataset/cropped/Abies nordmanniana/296.jpg	Abies nordmanniana
298	dataset/cropped/Abies nordmanniana/297.jpg	Abies nordmanniana
299	dataset/cropped/Abies nordmanniana/298.jpg	Abies nordmanniana
300	dataset/cropped/Abies nordmanniana/299.jpg	Abies nordmanniana
301	dataset/cropped/Abies nordmanniana/300.jpg	Abies nordmanniana
302	dataset/cropped/Abies nordmanniana/301.jpg	Abies nordmanniana
303	dataset/cropped/Abies nordmanniana/302.jpg	Abies nordmanniana
304	dataset/cropped/Abies nordmanniana/303.jpg	Abies nordmanniana
305	dataset/cropped/Abies nordmanniana/304.jpg	Abies nordmanniana
306	dataset/cropped/Abies nordmanniana/305.jpg	Abies nordmanniana
307	dataset/cropped/Abies nordmanniana/306.jpg	Abies nordmanniana
308	dataset/cropped/Abies nordmanniana/307.jpg	Abies nordmanniana
309	dataset/cropped/Abies nordmanniana/308.jpg	Abies nordmanniana
310	dataset/cropped/Abies nordmanniana/309.jpg	Abies nordmanniana
311	dataset/cropped/Abies nordmanniana/310.jpg	Abies nordmanniana
312	dataset/cropped/Abies nordmanniana/311.jpg	Abies nordmanniana
313	dataset/cropped/Abies nordmanniana/312.jpg	Abies nordmanniana
314	dataset/cropped/Abies nordmanniana/313.jpg	Abies nordmanniana
315	dataset/cropped/Abies nordmanniana/314.jpg	Abies nordmanniana
316	dataset/cropped/Abies nordmanniana/315.jpg	Abies nordmanniana
317	dataset/cropped/Abies nordmanniana/316.jpg	Abies nordmanniana
318	dataset/cropped/Abies nordmanniana/317.jpg	Abies nordmanniana
319	dataset/cropped/Abies nordmanniana/318.jpg	Abies nordmanniana
320	dataset/cropped/Abies nordmanniana/319.jpg	Abies nordmanniana
321	dataset/cropped/Abies nordmanniana/320.jpg	Abies nordmanniana
322	dataset/cropped/Abies nordmanniana/321.jpg	Abies nordmanniana
323	dataset/cropped/Abies nordmanniana/322.jpg	Abies nordmanniana
324	dataset/cropped/Abies nordmanniana/323.jpg	Abies nordmanniana
325	dataset/cropped/Abies nordmanniana/324.jpg	Abies nordmanniana
326	dataset/cropped/Abies nordmanniana/325.jpg	Abies nordmanniana
327	dataset/cropped/Abies nordmanniana/326.jpg	Abies nordmanniana
328	dataset/cropped/Abies nordmanniana/327.jpg	Abies nordmanniana
329	dataset/cropped/Abies nordmanniana/328.jpg	Abies nordmanniana
330	dataset/cropped/Abies nordmanniana/329.jpg	Abies nordmanniana
331	dataset/cropped/Abies nordmanniana/330.jpg	Abies nordmanniana
332	dataset/cropped/Abies nordmanniana/331.jpg	Abies nordmanniana
333	dataset/cropped/Abies nordmanniana/332.jpg	Abies nordmanniana
334	dataset/cropped/Abies nordmanniana/333.jpg	Abies nordmanniana
335	dataset/cropped/Abies nordmanniana/334.jpg	Abies nordmanniana
336	dataset/cropped/Abies nordmanniana/335.jpg	Abies nordmanniana
337	dataset/cropped/Abies nordmanniana/336.jpg	Abies nordmanniana
338	dataset/cropped/Abies nordmanniana/337.jpg	Abies nordmanniana
339	dataset/cropped/Abies nordmanniana/338.jpg	Abies nordmanniana
340	dataset/cropped/Abies nordmanniana/339.jpg	Abies nordmanniana
341	dataset/cropped/Abies nordmanniana/340.jpg	Abies nordmanniana
342	dataset/cropped/Abies nordmanniana/341.jpg	Abies nordmanniana
343	dataset/cropped/Abies nordmanniana/342.jpg	Abies nordmanniana
344	dataset/cropped/Abies nordmanniana/343.jpg	Abies nordmanniana
345	dataset/cropped/Abies nordmanniana/344.jpg	Abies nordmanniana
346	dataset/cropped/Abies nordmanniana/345.jpg	Abies nordmanniana
347	dataset/cropped/Abies nordmanniana/346.jpg	Abies nordmanniana
348	dataset/cropped/Abies nordmanniana/347.jpg	Abies nordmanniana
349	dataset/cropped/Abies nordmanniana/348.jpg	Abies nordmanniana
350	dataset/cropped/Abies nordmanniana/349.jpg	Abies nordmanniana
351	dataset/cropped/Abies nordmanniana/350.jpg	Abies nordmanniana
352	dataset/cropped/Abies nordmanniana/351.jpg	Abies nordmanniana
353	dataset/cropped/Abies nordmanniana/352.jpg	Abies nordmanniana
354	dataset/cropped/Abies nordmanniana/353.jpg	Abies nordmanniana
355	dataset/cropped/Abies nordmanniana/354.jpg	Abies nordmanniana
356	dataset/cropped/Abies nordmanniana/355.jpg	Abies nordmanniana
357	dataset/cropped/Abies nordmanniana/356.jpg	Abies nordmanniana
358	dataset/cropped/Abies nordmanniana/357.jpg	Abies nordmanniana
359	dataset/cropped/Abies nordmanniana/358.jpg	Abies nordmanniana
360	dataset/cropped/Abies nordmanniana/359.jpg	Abies nordmanniana
361	dataset/cropped/Abies nordmanniana/360.jpg	Abies nordmanniana
362	dataset/cropped/Abies nordmanniana/361.jpg	Abies nordmanniana
363	dataset/cropped/Abies nordmanniana/362.jpg	Abies nordmanniana
364	dataset/cropped/Abies nordmanniana/363.jpg	Abies nordmanniana
365	dataset/cropped/Abies nordmanniana/364.jpg	Abies nordmanniana
366	dataset/cropped/Abies nordmanniana/365.jpg	Abies nordmanniana
367	dataset/cropped/Abies nordmanniana/366.jpg	Abies nordmanniana
368	dataset/cropped/Abies nordmanniana/367.jpg	Abies nordmanniana
369	dataset/cropped/Abies nordmanniana/368.jpg	Abies nordmanniana
370	dataset/cropped/Abies nordmanniana/369.jpg	Abies nordmanniana
371	dataset/cropped/Abies nordmanniana/370.jpg	Abies nordmanniana
372	dataset/cropped/Abies nordmanniana/371.jpg	Abies nordmanniana
373	dataset/cropped/Abies nordmanniana/372.jpg	Abies nordmanniana
374	dataset/cropped/Abies nordmanniana/373.jpg	Abies nordmanniana
375	dataset/cropped/Abies nordmanniana/374.jpg	Abies nordmanniana
376	dataset/cropped/Abies nordmanniana/375.jpg	Abies nordmanniana
377	dataset/cropped/Abies nordmanniana/376.jpg	Abies nordmanniana
378	dataset/cropped/Abies nordmanniana/377.jpg	Abies nordmanniana
379	dataset/cropped/Abies nordmanniana/378.jpg	Abies nordmanniana
380	dataset/cropped/Abies nordmanniana/379.jpg	Abies nordmanniana
381	dataset/cropped/Abies nordmanniana/380.jpg	Abies nordmanniana
382	dataset/cropped/Abies nordmanniana/381.jpg	Abies nordmanniana
383	dataset/cropped/Abies nordmanniana/382.jpg	Abies nordmanniana
384	dataset/cropped/Abies nordmanniana/383.jpg	Abies nordmanniana
385	dataset/cropped/Abies nordmanniana/384.jpg	Abies nordmanniana
386	dataset/cropped/Abies nordmanniana/385.jpg	Abies nordmanniana
387	dataset/cropped/Abies nordmanniana/386.jpg	Abies nordmanniana
388	dataset/cropped/Abies nordmanniana/387.jpg	Abies nordmanniana
389	dataset/cropped/Abies nordmanniana/388.jpg	Abies nordmanniana
390	dataset/cropped/Abies nordmanniana/389.jpg	Abies nordmanniana
391	dataset/cropped/Abies nordmanniana/390.jpg	Abies nordmanniana
392	dataset/cropped/Abies nordmanniana/391.jpg	Abies nordmanniana
393	dataset/cropped/Abies nordmanniana/392.jpg	Abies nordmanniana
394	dataset/cropped/Abies nordmanniana/393.jpg	Abies nordmanniana
395	dataset/cropped/Abies nordmanniana/394.jpg	Abies nordmanniana
396	dataset/cropped/Abies nordmanniana/395.jpg	Abies nordmanniana
397	dataset/cropped/Abies nordmanniana/396.jpg	Abies nordmanniana
398	dataset/cropped/Abies nordmanniana/397.jpg	Abies nordmanniana
399	dataset/cropped/Abies nordmanniana/398.jpg	Abies nordmanniana
400	dataset/cropped/Abies nordmanniana/399.jpg	Abies nordmanniana
401	dataset/cropped/Abies nordmanniana/400.jpg	Abies nordmanniana
402	dataset/cropped/Abies nordmanniana/401.jpg	Abies nordmanniana
403	dataset/cropped/Abies nordmanniana/402.jpg	Abies nordmanniana
404	dataset/cropped/Abies nordmanniana/403.jpg	Abies nordmanniana
405	dataset/cropped/Abies nordmanniana/404.jpg	Abies nordmanniana
406	dataset/cropped/Abies nordmanniana/405.jpg	Abies nordmanniana
407	dataset/cropped/Abies nordmanniana/406.jpg	Abies nordmanniana
408	dataset/cropped/Abies nordmanniana/407.jpg	Abies nordmanniana
409	dataset/cropped/Abies nordmanniana/408.jpg	Abies nordmanniana
410	dataset/cropped/Acer campestre/409.jpg	Acer campestre
411	dataset/cropped/Acer campestre/410.jpg	Acer campestre
412	dataset/cropped/Acer campestre/411.jpg	Acer campestre
413	dataset/cropped/Acer campestre/412.jpg	Acer campestre
414	dataset/cropped/Acer campestre/413.jpg	Acer campestre
415	dataset/cropped/Acer campestre/414.jpg	Acer campestre
416	dataset/cropped/Acer campestre/415.jpg	Acer campestre
417	dataset/cropped/Acer campestre/416.jpg	Acer campestre
418	dataset/cropped/Acer campestre/417.jpg	Acer campestre
419	dataset/cropped/Acer campestre/418.jpg	Acer campestre
420	dataset/cropped/Acer campestre/419.jpg	Acer campestre
421	dataset/cropped/Acer campestre/420.jpg	Acer campestre
422	dataset/cropped/Acer campestre/421.jpg	Acer campestre
423	dataset/cropped/Acer campestre/422.jpg	Acer campestre
424	dataset/cropped/Acer campestre/423.jpg	Acer campestre
425	dataset/cropped/Acer campestre/424.jpg	Acer campestre
426	dataset/cropped/Acer campestre/425.jpg	Acer campestre
427	dataset/cropped/Acer campestre/426.jpg	Acer campestre
428	dataset/cropped/Acer campestre/427.jpg	Acer campestre
429	dataset/cropped/Acer campestre/428.jpg	Acer campestre
430	dataset/cropped/Acer campestre/429.jpg	Acer campestre
431	dataset/cropped/Acer campestre/430.jpg	Acer campestre
432	dataset/cropped/Acer campestre/431.jpg	Acer campestre
433	dataset/cropped/Acer campestre/432.jpg	Acer campestre
434	dataset/cropped/Acer campestre/433.jpg	Acer campestre
